STATE,NAME,LAT,LONG                                                                                                 
CA,Bonadelle Ranchos CDP,36.968806,-119.892779
CA,Bonita CDP,32.673217,-117.006101
CA,Bonny Doon CDP,37.043577,-122.136972
CA,Bonsall CDP,33.274876,-117.191863
CA,Boonville CDP,39.011474,-123.374043
CA,Bootjack CDP,37.474044,-119.8838
CA,Boron CDP,35.01978,-117.665938
CA,Boronda CDP,36.694632,-121.674512
CA,Borrego Springs CDP,33.240965,-116.357119
CA,Bostonia CDP,32.818985,-116.942264
CA,Boulder Creek CDP,37.134099,-122.127208
CA,Boulevard CDP,32.664022,-116.289601
CA,Bowles CDP,36.608873,-119.752564
CA,Boyes Hot Springs CDP,38.312633,-122.488738
CA,Bradbury city,34.153159,-117.968818
CA,Bradley CDP,35.86284,-120.804268
CA,Brawley city,32.978454,-115.528569
CA,Brea city,33.925178,-117.865111
CA,Brentwood city,37.935578,-121.71897
CA,Bret Harte CDP,37.602078,-121.00438
CA,Bridgeport CDP,38.25521,-119.210424
CA,Brisbane city,37.67575,-122.383302
CA,Broadmoor CDP,37.691495,-122.481339
CA,Brookdale CDP,37.105732,-122.110623
CA,Brooks CDP,38.73688,-122.146807
CA,Brooktrails CDP,39.443283,-123.3938
CA,Buckhorn CDP,38.454797,-120.532334
CA,Buck Meadows CDP,37.807046,-120.075237
CA,Bucks Lake CDP,39.87956,-121.199081
CA,Buellton city,34.615497,-120.194237
CA,Buena Park city,33.857353,-118.007373
CA,Buena Vista CDP,38.297487,-120.917402
CA,Burbank city,34.190079,-118.326405
CA,Burbank CDP,37.321084,-121.930618
CA,Burlingame city,37.589952,-122.363342
CA,Burney CDP,40.889362,-121.675465
CA,Burnt Ranch CDP,40.811335,-123.508261
CA,Butte Creek Canyon CDP,39.744502,-121.707131
CA,Butte Meadows CDP,40.08531,-121.542683
CA,Butte Valley CDP,39.668815,-121.645888
CA,Buttonwillow CDP,35.409229,-119.440668
CA,Byron CDP,37.875644,-121.64212
CA,Bystrom CDP,37.61939,-120.981254
CA,Cabazon CDP,33.912726,-116.782831
CA,Calabasas city,34.134252,-118.666455
CA,Calexico city,32.684859,-115.494738
CA,California City city,35.14659,-117.869346
CA,California Hot Springs CDP,35.887568,-118.655022
CA,California Pines CDP,41.413786,-120.66531
CA,California Polytechnic State University CDP,35.306981,-120.667276
CA,Calimesa city,33.987357,-117.054214
CA,Calipatria city,33.168651,-115.485641
CA,Calistoga city,38.581408,-122.582696
CA,Callender CDP,35.047972,-120.575908
CA,Calpella CDP,39.233721,-123.19376
CA,Calpine CDP,39.663381,-120.439277
CA,Calwa CDP,36.713477,-119.76086
CA,Camanche North Shore CDP,38.244218,-120.953915
CA,Camanche Village CDP,38.266481,-120.986575
CA,Camarillo city,34.221823,-119.032154
CA,Cambria CDP,35.552069,-121.084137
CA,Cambrian Park CDP,37.256059,-121.928778
CA,Cameron Park CDP,38.674029,-120.988338
CA,Camino CDP,38.742265,-120.680811
CA,Camino Tassajara CDP,37.790886,-121.885052
CA,Campbell city,37.280244,-121.953296
CA,Camp Nelson CDP,36.141978,-118.61071
CA,Campo CDP,32.640965,-116.474516
CA,Campo Seco CDP,38.220743,-120.859054
CA,Camp Pendleton Mainside CDP,33.307209,-117.331048
CA,Camp Pendleton South CDP,33.231824,-117.391998
CA,Camptonville CDP,39.452072,-121.048668
CA,Canby CDP,41.452293,-120.888319
CA,Cantua Creek CDP,36.500045,-120.316361
CA,Canyondam CDP,40.169867,-121.076986
CA,Canyon Lake city,33.688302,-117.263547
CA,Capitola city,36.976083,-121.954012
CA,Caribou CDP,40.073244,-121.16567
CA,Carlsbad city,33.129284,-117.284183
CA,Carmel-by-the-Sea city,36.552881,-121.921919
CA,Carmel Valley Village CDP,36.500627,-121.73182
CA,Carmet CDP,38.374452,-123.071859
CA,Carmichael CDP,38.630812,-121.325636
CA,Carnelian Bay CDP,39.235165,-120.078207
CA,Carpinteria city,34.385234,-119.500759
CA,Carrick CDP,41.446746,-122.363457
CA,Carson city,33.840367,-118.249574
CA,Cartago CDP,36.305239,-118.027166
CA,Caruthers CDP,36.539907,-119.845027
CA,Casa Conejo CDP,34.184731,-118.944517
CA,Casa de Oro-Mount Helix CDP,32.763961,-116.968808
CA,Casa Loma CDP,35.34323,-118.998711
CA,Casmalia CDP,34.837799,-120.531044
CA,Caspar CDP,39.363063,-123.804194
CA,Cassel CDP,40.925021,-121.548476
CA,Castaic CDP,34.477444,-118.632681
CA,Castella CDP,41.177248,-122.287241
CA,Castle Hill CDP,37.874718,-122.058582
CA,Castro Valley CDP,37.708276,-122.062769
CA,Castroville CDP,36.76484,-121.753376
CA,Cathedral City city,33.835487,-116.463103
CA,Catheys Valley CDP,37.427706,-120.096038
CA,Cayucos CDP,35.439581,-120.889828
CA,Cazadero CDP,38.527831,-123.109799
CA,Cedar Flat CDP,39.206907,-120.094902
CA,Cedar Ridge CDP,38.065736,-120.273869
CA,Cedar Slope CDP,36.145464,-118.578881
CA,Cedarville CDP,41.528683,-120.174433
CA,Centerville CDP,36.736117,-119.496006
CA,Centerville CDP,40.542902,-122.464505
CA,Ceres city,37.598786,-120.968081
CA,Cerritos city,33.867745,-118.069471
CA,Chalfant CDP,37.492115,-118.390408
CA,Challenge-Brownsville CDP,39.464617,-121.26325
CA,Channel Islands Beach CDP,34.16896,-119.228542
CA,Charleston View CDP,35.964629,-115.897235
CA,Charter Oak CDP,34.102492,-117.856282
CA,Cherokee CDP,39.650877,-121.533646
CA,Cherokee Strip CDP,35.469567,-119.261525
CA,Cherryland CDP,37.679216,-122.103777
CA,Cherry Valley CDP,33.979642,-116.969371
CA,Chester CDP,40.301675,-121.232503
CA,Chico city,39.758951,-121.81772
CA,Chilcoot-Vinton CDP,39.806744,-120.138861
CA,China Lake Acres CDP,35.640019,-117.766458
CA,Chinese Camp CDP,37.870215,-120.444225
CA,Chino city,33.978037,-117.657719
CA,Chino Hills city,33.942969,-117.725648
CA,Choctaw Valley CDP,35.448555,-118.887191
CA,Chowchilla city,37.116104,-120.241978
CA,Chualar CDP,36.571113,-121.510295
CA,Chula Vista city,32.62767,-117.01517
CA,Citrus CDP,34.113438,-117.891301
CA,Citrus Heights city,38.69481,-121.287953
CA,Claremont city,34.124925,-117.713923
CA,Clarksburg CDP,38.419335,-121.541617
CA,Clay CDP,38.314038,-121.159591
CA,Clayton city,37.940322,-121.930075
CA,Clear Creek CDP,40.307086,-121.0554
CA,Clearlake city,38.960045,-122.633232
CA,Clearlake Oaks CDP,39.020605,-122.656939
CA,Clearlake Riviera CDP,38.951383,-122.722243
CA,Cleone CDP,39.490154,-123.775692
CA,Clio CDP,39.754217,-120.566728
CA,Clipper Mills CDP,39.532424,-121.166552
CA,Cloverdale city,38.794795,-123.014703
CA,Clovis city,36.827809,-119.681843
CA,Clyde CDP,38.02539,-122.028016
CA,Coachella city,33.69038,-116.143128
CA,Coalinga city,36.133014,-120.339005
CA,Coarsegold CDP,37.239184,-119.700972
CA,Cobb CDP,38.835329,-122.722435
CA,Coffee Creek CDP,41.079673,-122.716906
CA,Cohasset CDP,39.902152,-121.745368
CA,Cold Springs CDP,38.74644,-120.873807
CA,Cold Springs CDP,38.161335,-120.053527
CA,Coleville CDP,38.580561,-119.502863
CA,Colfax city,39.093799,-120.953222
CA,College City CDP,39.006085,-122.005134
CA,Collierville CDP,38.212831,-121.264972
CA,Colma town,37.676697,-122.452821
CA,Coloma CDP,38.802616,-120.894635
CA,Colton city,34.054525,-117.325029
CA,Columbia CDP,38.031227,-120.413398
CA,Colusa city,39.200023,-122.009481
CA,Commerce city,33.994523,-118.149952
CA,Comptche CDP,39.265134,-123.589715
CA,Compton city,33.894047,-118.227469
CA,Concord city,37.972184,-122.001587
CA,Concow CDP,39.770316,-121.513493
CA,Contra Costa Centre CDP,37.925963,-122.053977
CA,Copperopolis CDP,37.939092,-120.625141
CA,Corcoran city,36.084057,-119.561268
CA,Corning city,39.9282,-122.182009
CA,Corona city,33.861969,-117.565495
CA,Coronado city,32.657625,-117.156539
CA,Coronita CDP,33.875877,-117.610983
CA,Corralitos CDP,36.98423,-121.789432
CA,Corte Madera town,37.931846,-122.507738
CA,Costa Mesa city,33.665905,-117.912336
CA,Cotati city,38.328492,-122.710049
CA,Coto de Caza CDP,33.597037,-117.586484
CA,Cottonwood CDP,35.345588,-118.985856
CA,Cottonwood CDP,40.390291,-122.315631
CA,Coulterville CDP,37.712573,-120.196062
CA,Country Club CDP,37.968036,-121.340482
CA,Courtland CDP,38.332911,-121.557026
CA,Covelo CDP,39.800187,-123.252601
CA,Covina city,34.090475,-117.882143
CA,Cowan CDP,37.560105,-120.988787
CA,Crescent City city,41.764514,-124.200779
CA,Crescent Mills CDP,40.100741,-120.921706
CA,Cressey CDP,37.42103,-120.65569
CA,Crest CDP,32.80002,-116.867078
CA,Crestline CDP,34.254077,-117.286709
CA,Creston CDP,35.517097,-120.518136
CA,C-Road CDP,39.762728,-120.577051
CA,Crockett CDP,38.051919,-122.220127
CA,Cromberg CDP,39.868383,-120.690446
CA,Crowley Lake CDP,37.568742,-118.746421
CA,Crows Landing CDP,37.394443,-121.075166
CA,Cudahy city,33.964003,-118.182561
CA,Culver City city,34.00582,-118.396781
CA,Cupertino city,37.3194,-122.044957
CA,Cutler CDP,36.524664,-119.288829
CA,Cutten CDP,40.765684,-124.144461
CA,Cuyama CDP,34.931057,-119.61488
CA,Cypress city,33.818477,-118.038307
CA,Dales CDP,40.317989,-122.053844
CA,Daly City city,37.701684,-122.464968
CA,Dana Point city,33.475452,-117.693087
CA,Danville town,37.812142,-121.969824
CA,Daphnedale Park CDP,41.506864,-120.548069
CA,Darwin CDP,36.268803,-117.589004
CA,Davenport CDP,37.017779,-122.187885
CA,Davis city,38.556147,-121.737793
CA,Day Valley CDP,37.025439,-121.855931
CA,Deer Park CDP,38.535176,-122.470152
CA,Del Aire CDP,33.916738,-118.36929
CA,Delano city,35.76643,-119.264221
CA,Del Dios CDP,33.075682,-117.119036
CA,Delft Colony CDP,36.513809,-119.446522
CA,Delhi CDP,37.430599,-120.775899
CA,Delleker CDP,39.813251,-120.489671
CA,Del Mar city,32.963945,-117.259804
CA,Del Monte Forest CDP,36.583834,-121.946714
CA,Del Rey CDP,36.656464,-119.598135
CA,Del Rey Oaks city,36.589699,-121.829527
CA,Del Rio CDP,37.745907,-121.009293
CA,Denair CDP,37.525398,-120.797433
CA,Derby Acres CDP,35.244025,-119.603833
CA,Descanso CDP,32.869565,-116.627878
CA,Desert Center CDP,33.737799,-115.366622
CA,Desert Edge CDP,33.922289,-116.440092
CA,Desert Hot Springs city,33.957591,-116.542284
CA,Desert Palms CDP,33.779144,-116.298219
CA,Desert Shores CDP,33.403803,-116.039206
CA,Desert View Highlands CDP,34.590263,-118.153537
CA,Diablo CDP,37.840774,-121.956477
CA,Diablo Grande CDP,37.399047,-121.263511
CA,Diamond Bar city,34.001573,-117.817601
CA,Diamond Springs CDP,38.692014,-120.838684
CA,Di Giorgio CDP,35.249118,-118.844154
CA,Dillon Beach CDP,38.243488,-122.955955
CA,Dinuba city,36.545121,-119.398805
CA,Discovery Bay CDP,37.908131,-121.597196
CA,Dixon city,38.447512,-121.824223
CA,Dixon Lane-MeadowCreek CDP,37.386388,-118.415273
CA,Dobbins CDP,39.35659,-121.210378
CA,Dogtown CDP,38.208667,-121.154809
CA,Dollar Point CDP,39.189626,-120.109426
CA,Dorrington CDP,38.304479,-120.266321
CA,Dorris city,41.964965,-121.920387
CA,Dos Palos city,36.985424,-120.633845
CA,Dos Palos Y CDP,37.04684,-120.639473
CA,Douglas City CDP,40.644953,-122.927426
CA,Douglas Flat CDP,38.114619,-120.452862
CA,Downey city,33.938237,-118.130856
CA,Downieville CDP,39.578643,-120.816405
CA,Doyle CDP,40.027223,-120.11537
CA,Drytown CDP,38.441489,-120.860504
CA,Duarte city,34.160967,-117.950447
CA,Dublin city,37.716137,-121.896229
CA,Ducor CDP,35.892701,-119.04701
CA,Dunnigan CDP,38.892643,-121.974184
CA,Dunsmuir city,41.231526,-122.270939
CA,Durham CDP,39.629358,-121.79077
CA,Dustin Acres CDP,35.215929,-119.374987
CA,Dutch Flat CDP,39.208008,-120.834476
CA,Eagleville CDP,41.318993,-120.114607
CA,Earlimart CDP,35.891354,-119.272092
CA,East Bakersfield CDP,35.383185,-118.974368
CA,Eastern Goleta Valley CDP,34.443913,-119.785477
CA,East Foothills CDP,37.382607,-121.813749
CA,East Hemet CDP,33.730114,-116.941001
CA,East Los Angeles CDP,34.031506,-118.168567
CA,East Nicolaus CDP,38.910044,-121.544319
CA,East Niles CDP,35.368273,-118.922462
CA,East Oakdale CDP,37.783867,-120.798631
CA,Easton CDP,36.652391,-119.790786
CA,East Orosi CDP,36.548069,-119.259853
CA,East Palo Alto city,37.46778,-122.13255
CA,East Pasadena CDP,34.136798,-118.077535
CA,East Porterville CDP,36.058155,-118.974892
CA,East Quincy CDP,39.91643,-120.91894
CA,East Rancho Dominguez CDP,33.894841,-118.195586
CA,East Richmond Heights CDP,37.945084,-122.31391
CA,East San Gabriel CDP,34.116189,-118.079886
CA,East Shore CDP,40.245269,-121.076778
CA,East Sonora CDP,37.974241,-120.338035
CA,East Tulare Villa CDP,36.203763,-119.280335
CA,Eastvale city,33.963274,-117.582369
CA,East Whittier CDP,33.924376,-117.988732
CA,Edgewood CDP,41.460773,-122.425687
CA,Edison CDP,35.347313,-118.869826
CA,Edmundson Acres CDP,35.227296,-118.823252
CA,Edna CDP,35.210786,-120.605968
CA,Edwards AFB CDP,34.902408,-117.921869
CA,El Adobe CDP,35.245083,-118.958842
CA,El Cajon city,32.801673,-116.960468
CA,El Centro city,32.786351,-115.560206
CA,El Centro Naval Air Facility CDP,32.825232,-115.668072
CA,El Cerrito city,37.919574,-122.302519
CA,El Cerrito CDP,33.838186,-117.522205
CA,El Dorado Hills CDP,38.676082,-121.0477
CA,Eldridge CDP,38.333887,-122.506518
CA,Elfin Forest CDP,33.081232,-117.177443
CA,El Granada CDP,37.514166,-122.464803
CA,Elizabeth Lake CDP,34.656488,-118.379847
CA,Elk Creek CDP,39.598678,-122.53232
CA,Elk Grove city,38.414621,-121.384961
CA,Elkhorn CDP,36.810673,-121.718699
CA,El Macero CDP,38.544019,-121.685168
CA,Elmira CDP,38.352329,-121.907719
CA,El Monte city,34.074633,-118.029136
CA,El Monte Mobile Village CDP,36.547075,-119.425049
CA,El Nido CDP,37.132376,-120.498551
CA,El Paso de Robles (Paso Robles) city,35.628513,-120.650356
CA,El Portal CDP,37.673241,-119.787716
CA,El Rancho CDP,36.220684,-119.068357
CA,El Rio CDP,34.245364,-119.156763
CA,El Segundo city,33.910367,-118.425079
CA,El Sobrante CDP,37.973624,-122.303141
CA,El Sobrante CDP,33.872465,-117.462517
CA,El Verano CDP,38.297465,-122.491544
CA,Elverta CDP,38.718464,-121.445475
CA,Emerald Lake Hills CDP,37.46566,-122.265351
CA,Emeryville city,37.838473,-122.301682
CA,Empire CDP,37.643057,-120.907038
CA,Encinitas city,33.050632,-117.263616
CA,Escalon city,37.791336,-120.999643
CA,Escondido city,33.133053,-117.074043
CA,Esparto CDP,38.69341,-122.024046
CA,Etna city,41.458199,-122.895819
CA,Eucalyptus Hills CDP,32.885177,-116.944983
CA,Eureka city,40.797594,-124.154191
CA,Exeter city,36.294137,-119.145953
CA,Fairbanks Ranch CDP,32.991596,-117.186611
CA,Fairfax CDP,35.346885,-118.933806
CA,Fairfax town,37.988532,-122.595208
CA,Fairfield city,38.26206,-122.032386
CA,Fairhaven CDP,40.788293,-124.201421
CA,Fairmead CDP,37.077405,-120.193909
CA,Fair Oaks CDP,38.650154,-121.25097
CA,Fairview CDP,37.677667,-122.044434
CA,Fallbrook CDP,33.374235,-117.220375
CA,Fall River Mills CDP,41.007241,-121.441134
CA,Farmersville city,36.304739,-119.208605
CA,Farmington CDP,37.929868,-121.004367
CA,Fellows CDP,35.177929,-119.547211
CA,Felton CDP,37.039222,-122.080764
CA,Ferndale city,40.578144,-124.261247
CA,Fetters Hot Springs-Agua Caliente CDP,38.327504,-122.487137
CA,Fiddletown CDP,38.506864,-120.760149
CA,Fieldbrook CDP,40.972958,-124.028586
CA,Fields Landing CDP,40.724236,-124.218603
CA,Fillmore city,34.398958,-118.91746
CA,Firebaugh city,36.853745,-120.453746
CA,Fish Camp CDP,37.4799,-119.640911
CA,Florence-Graham CDP,33.968159,-118.244667
CA,Florin CDP,38.48315,-121.404326
CA,Floriston CDP,39.39293,-120.015113
CA,Flournoy CDP,39.928339,-122.445793
CA,Folsom city,38.666597,-121.141635
CA,Fontana city,34.109686,-117.462888
CA,Foothill Farms CDP,38.686732,-121.347478
CA,Forbestown CDP,39.527584,-121.266222
CA,Ford City CDP,35.164735,-119.4584
CA,Foresta CDP,37.698779,-119.748274
CA,Foresthill CDP,39.005286,-120.831355
CA,Forest Meadows CDP,38.171801,-120.397737
CA,Forest Ranch CDP,39.895204,-121.670451
CA,Forestville CDP,38.482491,-122.889884
CA,Fort Bidwell CDP,41.863301,-120.159395
CA,Fort Bragg city,39.439803,-123.801757
CA,Fort Dick CDP,41.869526,-124.167206
CA,Fort Hunter Liggett CDP,35.992329,-121.23487
CA,Fort Irwin CDP,35.247701,-116.683411
CA,Fort Jones city,41.608452,-122.841066
CA,Fortuna city,40.587084,-124.142161
CA,Fort Washington CDP,36.87934,-119.76122
CA,Foster City city,37.56482,-122.250782
CA,Fountain Valley city,33.710582,-117.951129
CA,Fowler city,36.624186,-119.674748
CA,Franklin CDP,37.327529,-120.532089
CA,Franklin CDP,38.367521,-121.461629
CA,Frazier Park CDP,34.814193,-118.954961
CA,Freedom CDP,36.940254,-121.795246
CA,Freeport CDP,38.462935,-121.502107
CA,Fremont city,37.49446,-121.94115
CA,French Camp CDP,37.866024,-121.274154
CA,French Gulch CDP,40.718793,-122.629357
CA,French Valley CDP,33.599461,-117.106495
CA,Fresno city,36.782684,-119.793359
CA,Friant CDP,36.984012,-119.70806
CA,Fruitdale CDP,37.311711,-121.935765
CA,Fruitridge Pocket CDP,38.532613,-121.455807
CA,Fuller Acres CDP,35.302254,-118.914295
CA,Fullerton city,33.885716,-117.928025
CA,Fulton CDP,38.493709,-122.773417
CA,Furnace Creek CDP,36.427669,-116.87469
CA,Galt city,38.268458,-121.298952
CA,Garberville CDP,40.100306,-123.794315
CA,Gardena city,33.894417,-118.307522
CA,Garden Acres CDP,37.963697,-121.22961
CA,Garden Farms CDP,35.415782,-120.614034
CA,Garden Grove city,33.778782,-117.960472
CA,Garey CDP,34.885821,-120.31375
CA,Garnet CDP,33.917892,-116.479609
CA,Gasquet CDP,41.836075,-123.976031
CA,Gazelle CDP,41.51187,-122.521946
CA,Georgetown CDP,38.911353,-120.834624
CA,Gerber CDP,40.061417,-122.148201
CA,Geyserville CDP,38.717314,-122.903423
CA,Gilroy city,37.006407,-121.585321
CA,Glencoe CDP,38.353042,-120.57329
CA,Glendale city,34.181393,-118.24583
CA,Glendora city,34.144964,-117.847804
CA,Glen Ellen CDP,38.355323,-122.543306
CA,Glennville CDP,35.724194,-118.715217
CA,Golden Hills CDP,35.136422,-118.497592
CA,Gold Mountain CDP,39.761315,-120.519054
CA,Gold River CDP,38.626854,-121.249164
CA,Goleta city,34.435441,-119.858946
CA,Gonzales city,36.505979,-121.442918
CA,Good Hope CDP,33.770627,-117.277199
CA,Goodmanville CDP,35.428994,-118.943719
CA,Goodyears Bar CDP,39.552354,-120.893102
CA,Goshen CDP,36.349266,-119.420621
CA,Graeagle CDP,39.752477,-120.645449
CA,Grand Terrace city,34.031085,-117.3131
CA,Grangeville CDP,36.343898,-119.707467
CA,Granite Bay CDP,38.760441,-121.168196
CA,Granite Hills CDP,32.80328,-116.90561
CA,Graniteville CDP,39.444366,-120.73603
CA,Grass Valley city,39.220305,-121.052654
CA,Graton CDP,38.437517,-122.865988
CA,Grayson CDP,37.564577,-121.18005
CA,Greeley Hill CDP,37.757043,-120.130759
CA,Greenacres CDP,35.383159,-119.118381
CA,Green Acres CDP,33.734972,-117.078244
CA,Greenfield CDP,35.269489,-119.009491
CA,Greenfield city,36.323977,-121.243699
CA,Greenhorn CDP,39.902968,-120.758983
CA,Green Valley CDP,34.617415,-118.405023
CA,Green Valley CDP,38.263842,-122.162496
CA,Greenview CDP,41.544922,-122.920964
CA,Greenville CDP,40.133603,-120.945333
CA,Grenada CDP,41.6401,-122.526627
CA,Gridley city,39.362883,-121.697543
CA,Grimes CDP,39.074154,-121.898775
CA,Grizzly Flats CDP,38.635696,-120.535435
CA,Groveland CDP,37.831966,-120.241581
CA,Grover Beach city,35.120888,-120.619664
CA,Guadalupe city,34.964929,-120.573127
CA,Guerneville CDP,38.517165,-122.989897
CA,Guinda CDP,38.827374,-122.198359
CA,Gustine city,37.252549,-120.995513
CA,Hacienda Heights CDP,33.995853,-117.973023
CA,Half Moon Bay city,37.467319,-122.440485
CA,Hamilton Branch CDP,40.27725,-121.096092
CA,Hamilton City CDP,39.742678,-122.010946
CA,Hanford city,36.327719,-119.654609
CA,Happy Camp CDP,41.815893,-123.392796
CA,Happy Valley CDP,40.466141,-122.417969
CA,Harbison Canyon CDP,32.827274,-116.83807
CA,Hardwick CDP,36.402596,-119.72077
CA,Harmony Grove CDP,33.100717,-117.137992
CA,Hartland CDP,36.653867,-118.958812
CA,Hartley CDP,38.420393,-121.950842
CA,Hasley Canyon CDP,34.481599,-118.666689
